Timestamp,Resposnse ID,Where do you reside currently?,What is your age?,What is your gender?,Do you approve or disapprove of the way Hage Geingob is handling his job as president?,Which one of the following issues matters MOST to you right now?,"Did you vote in the 2014 presidential election, or not?","If the 2019 Namibia general election were being held today, which candidate would you vote for?",What is your education level?
10/24/2019 17:49:18,1,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 17:52:07,2,Khomas,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,College Diploma
10/24/2019 17:52:20,3,Khomas,35-44,Male,Strongly Disapprove,Education,Did not vote in 2014,H. Mudge,Grade 12
10/24/2019 17:56:17,4,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,Grade 12
10/24/2019 18:00:54,5,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:01:29,6,Karas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 18:04:02,7,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 18:04:49,8,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,Post-Graduate Degree
10/24/2019 18:04:57,9,Khomas,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:06:24,10,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:06:50,11,Khomas,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:09:20,12,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Grade 12
10/24/2019 18:09:46,13,Oshikoto,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
