Region,Age,APcnt
Namibia,0 -14 years,36
Namibia,15 - 59 years,57
Namibia,60+ years,7
Zambezi,0 -14 years,39
Zambezi,15 - 59 years,55
Zambezi,60+ years,6
Erongo,0 -14 years,27
Erongo,15 - 59 years,67
Erongo,60+ years,6
Hardap,0 -14 years,33
Hardap,15 - 59 years,59
Hardap,60+ years,7
Karas,0 -14 years,30
Karas,15 - 59 years,63
Karas,60+ years,6
Kavango,0 -14 years,42
Kavango,15 - 59 years,50
Kavango,60+ years,7
Kavango East,0 -14 years,41
Kavango West,0 -14 years,46
Khomas,0 -14 years,27
Khomas,15 - 59 years,69
Khomas,60+ years,4
Kunene,0 -14 years,42
Kunene,15 - 59 years,51
Kunene,60+ years,7
Ohangwena,0 -14 years,44
Ohangwena,15 - 59 years,47
Ohangwena,60+ years,9
Omaheke,0 -14 years,38
Omaheke,15 - 59 years,55
Omaheke,60+ years,7
Omusati,0 -14 years,40
Omusati,15 - 59 years,49
Omusati,60+ years,11
Oshana,0 -14 years,33
Oshana,15 - 59 years,59
Oshana,60+ years,8
Oshikoto,0 -14 years,40
Oshikoto,15 - 59 years,52
Oshikoto,60+ years,9
Otjozondjupa,0 -14 years,36
Otjozondjupa,15 - 59 years,58
Otjozondjupa,60+ years,6
